neighbourhood,price
Hammersmith and Fulham,65
Westminster,280
Hackney,228
Ealing,33
Camden,173
Hackney,123
Lambeth,411
Islington,113
Haringey,41
Islington,77
Ealing,60
Camden,61
Islington,169
Kensington and Chelsea,143
Southwark,58
Southwark,131
Bromley,27
Camden,348
Lambeth,132
Southwark,96
Hackney,86
Lewisham,82
Wandsworth,490
Camden,55
Brent,219
Southwark,139
Hackney,67
Tower Hamlets,121
Kensington and Chelsea,149
Camden,198
Islington,127
Southwark,134
Ealing,100
Ealing,99
Islington,162
Richmond upon Thames,60
Kensington and Chelsea,189
Sutton,53
Ealing,168
Lewisham,75
Hackney,63
Greenwich,191
Hillingdon,45
Ealing,55
Ealing,80
Hammersmith and Fulham,172
Kensington and Chelsea,86
Hammersmith and Fulham,53
Hammersmith and Fulham,75
Hammersmith and Fulham,90
Kensington and Chelsea,104
Kensington and Chelsea,912
Camden,275
Southwark,154
Lewisham,45
Hackney,48
Enfield,173
Hammersmith and Fulham,136
Haringey,32
Richmond upon Thames,95
Kensington and Chelsea,241
Camden,53
Enfield,68
Richmond upon Thames,217
Wandsworth,162
Camden,249
Hackney,111
Lewisham,92
Croydon,27
Harrow,135
Hackney,50
Kensington and Chelsea,175
Greenwich,246
Southwark,50
Hammersmith and Fulham,63
Lambeth,54
Tower Hamlets,90
Hammersmith and Fulham,51
Lambeth,44
Haringey,27
Tower Hamlets,87
Westminster,618
Richmond upon Thames,61
Richmond upon Thames,61
Merton,270
Merton,116
Islington,205
Westminster,225
Haringey,77
Richmond upon Thames,135
Brent,405
Camden,345
Haringey,33
Waltham Forest,264
Lambeth,230
Southwark,63
Hammersmith and Fulham,163
Brent,223
Camden,129
Camden,412
Hackney,85
Haringey,68
Haringey,44
Tower Hamlets,235
Camden,400
Ealing,55
Ealing,55
Ealing,55
Croydon,43
Croydon,38
Camden,60
Southwark,80
Camden,90
Islington,600
Southwark,110
Camden,147
Hackney,111
Islington,72
Tower Hamlets,70
Camden,180
Islington,124
Lewisham,99
Waltham Forest,95
Westminster,125
Camden,113
Hackney,54
Southwark,66
Southwark,59
Hackney,51
Lambeth,200
Lambeth,49
Hackney,50
Westminster,500
Camden,119
Camden,450
Ealing,75
Lambeth,44
Hackney,75
Waltham Forest,113
Ealing,40
Southwark,40
Lewisham,59
Brent,40
Camden,500
Camden,142
Brent,38
Richmond upon Thames,132
Merton,91
Southwark,210
Hackney,81
Hounslow,58
Lambeth,72
Islington,68
Hackney,73
Camden,67
Lewisham,43
Wandsworth,143
Hackney,82
Westminster,92
Brent,204
Westminster,200
Tower Hamlets,65
Kensington and Chelsea,51
Camden,312
Haringey,225
Hackney,98
Tower Hamlets,195
Haringey,176
Kensington and Chelsea,180
Tower Hamlets,67
Camden,110
Camden,132
Greenwich,110
Islington,61
Hackney,58
Hammersmith and Fulham,80
Redbridge,42
Islington,295
Lambeth,55
Hammersmith and Fulham,53
Westminster,171
Tower Hamlets,57
Lewisham,111
Wandsworth,82
Tower Hamlets,105
Hackney,140
Kensington and Chelsea,233
Westminster,258
Ealing,48
Kensington and Chelsea,314
Brent,175
Ealing,55
Hammersmith and Fulham,95
Barnet,35
Kensington and Chelsea,73
Ealing,101
Westminster,58
Islington,265
Greenwich,43
Westminster,296
Camden,127
Camden,55
Hounslow,55
Hackney,145
Hammersmith and Fulham,1093
Kensington and Chelsea,195
Camden,127
Kensington and Chelsea,468
Westminster,114
Camden,164
Wandsworth,96
Hackney,350
Wandsworth,65
Ealing,50
Hackney,72
Westminster,236
Westminster,132
Ealing,45
Southwark,40
Westminster,249
Wandsworth,149
Lambeth,90
Hounslow,55
Camden,167
Hammersmith and Fulham,500
Westminster,226
Hackney,50
Camden,68
Barnet,121
Barnet,100
Haringey,46
Ealing,54
Islington,180
Hackney,137
Hammersmith and Fulham,62
Hackney,40
Westminster,116
Hounslow,198
Hounslow,251
Ealing,56
Ealing,42
Camden,285
Wandsworth,261
Camden,171
Southwark,140
Kensington and Chelsea,188
Tower Hamlets,214
Southwark,57
Westminster,156
Camden,147
Islington,96
Southwark,303
Islington,159
Islington,99
Camden,182
Islington,332
Camden,102
Haringey,43
Islington,99
Southwark,234
Islington,146
Brent,203
Westminster,108
Ealing,220
Hackney,56
Wandsworth,128
Westminster,145
Kensington and Chelsea,195
Hackney,199
Islington,332
Haringey,40
Waltham Forest,48
Richmond upon Thames,110
Brent,67
Haringey,35
Camden,350
Hackney,81
Lambeth,75
Islington,194
Islington,102
Hackney,113
Westminster,81
Richmond upon Thames,26
Wandsworth,167
Hammersmith and Fulham,55
Islington,91
Camden,95
Hackney,136
Westminster,87
Hammersmith and Fulham,159
Hounslow,33
Waltham Forest,63
Westminster,134
Southwark,83
Westminster,200
Westminster,150
Kensington and Chelsea,73
Lewisham,69
Kensington and Chelsea,162
Bromley,36
Greenwich,105
Tower Hamlets,33
Westminster,189
Southwark,71
Southwark,147
Hackney,25
Kensington and Chelsea,400
Hammersmith and Fulham,173
Westminster,316
Hammersmith and Fulham,129
Brent,83
Bexley,120
Hackney,56
Harrow,52
Ealing,68
Westminster,378
Lambeth,45
Sutton,59
Hackney,55
Lewisham,130
Westminster,240
Southwark,260
Hackney,154
Tower Hamlets,131
Merton,54
Westminster,60
Tower Hamlets,103
Tower Hamlets,125
Lewisham,56
Tower Hamlets,48
Hackney,41
Westminster,59
Hammersmith and Fulham,104
Brent,35
Kensington and Chelsea,127
Westminster,666
Hackney,150
Kensington and Chelsea,112
Hackney,101
Lambeth,157
Lewisham,91
Westminster,379
Westminster,135
Westminster,83
Ealing,30
Croydon,71
Brent,185
Haringey,250
Haringey,90
Greenwich,120
Westminster,132
Greenwich,148
Wandsworth,82
Tower Hamlets,186
Islington,200
Hackney,75
Tower Hamlets,61
Croydon,46
Richmond upon Thames,86
Wandsworth,72
Islington,114
Hackney,65
Ealing,196
Southwark,62
Hackney,139
Kensington and Chelsea,350
Westminster,1350
Greenwich,145
Haringey,58
Camden,83
Westminster,364
Hammersmith and Fulham,173
Hackney,105
Hammersmith and Fulham,90
Camden,171
Brent,40
Brent,90
Camden,123
Westminster,359
Islington,217
Kensington and Chelsea,75
Westminster,329
Hammersmith and Fulham,80
Camden,213
Waltham Forest,55
Lambeth,82
Camden,67
Kensington and Chelsea,250
Waltham Forest,58
Ealing,124
Lambeth,42
Southwark,250
Camden,124
Southwark,108
Redbridge,25
Hackney,150
Kensington and Chelsea,130
Hackney,276
Tower Hamlets,341
Brent,140
Ealing,110
Camden,115
Brent,70
Westminster,170
Camden,79
Hackney,159
Hackney,320
Lambeth,120
Haringey,200
Hackney,120
Lambeth,70
Wandsworth,108
Hackney,241
Brent,125
Hammersmith and Fulham,210
Camden,227
Southwark,108
Hillingdon,90
Brent,108
Greenwich,158
Haringey,162
Kensington and Chelsea,250
Kensington and Chelsea,104
Kensington and Chelsea,484
Westminster,333
Merton,49
Camden,268
Camden,322
Westminster,159
Brent,55
Camden,104
Brent,73
Waltham Forest,54
Islington,66
Islington,62
Haringey,100
Westminster,140
Kensington and Chelsea,91
Lambeth,420
Waltham Forest,45
Westminster,120
Wandsworth,63
Westminster,300
Waltham Forest,160
Islington,66
Newham,38
Camden,90
Islington,65
Tower Hamlets,200
Southwark,391
Haringey,74
Kensington and Chelsea,190
Islington,60
Tower Hamlets,194
Waltham Forest,110
Hackney,88
Tower Hamlets,65
Hounslow,25
Camden,45
Lewisham,75
Tower Hamlets,102
Hackney,90
Hackney,310
Islington,120
Croydon,30
Kensington and Chelsea,90
Southwark,150
Islington,127
Lambeth,52
Islington,234
Richmond upon Thames,30
Kensington and Chelsea,403
Lambeth,43
Kensington and Chelsea,243
Hackney,270
Tower Hamlets,207
Barking and Dagenham,30
Barnet,50
Islington,57
City of London,180
Hammersmith and Fulham,126
Southwark,162
Kensington and Chelsea,86
Hackney,247
Camden,295
Hackney,77
Newham,37
Newham,37
Lambeth,90
Brent,209
Ealing,348
Waltham Forest,64
Barnet,50
Camden,225
Hackney,197
Brent,239
Kensington and Chelsea,150
Lambeth,65
Kensington and Chelsea,234
Kensington and Chelsea,1008
Merton,72
Waltham Forest,88
Waltham Forest,62
Hackney,205
Merton,60
Camden,210
Tower Hamlets,173
Barnet,46
Wandsworth,485
Barking and Dagenham,176
Westminster,800
Richmond upon Thames,260
Hounslow,75
City of London,248
Hackney,159
Southwark,250
Islington,238
Kensington and Chelsea,175
Haringey,81
Haringey,87
Camden,87
Wandsworth,70
Hammersmith and Fulham,50
Kensington and Chelsea,302
Islington,418
Kensington and Chelsea,170
Croydon,41
Brent,123
Hackney,142
Wandsworth,43
Enfield,39
Hackney,62
Islington,175
Wandsworth,36
Hammersmith and Fulham,79
Lambeth,78
Hackney,54
Islington,70
Kingston upon Thames,67
Haringey,95
Wandsworth,72
Islington,57
Islington,61
Tower Hamlets,4600
Wandsworth,170
Lambeth,150
Islington,94
Newham,190
Hammersmith and Fulham,48
Hammersmith and Fulham,55
Tower Hamlets,135
Wandsworth,31
Kensington and Chelsea,180
Hammersmith and Fulham,435
Wandsworth,106
Westminster,175
Camden,105
Wandsworth,600
Camden,123
Camden,182
Westminster,245
Lewisham,30
Brent,276
Wandsworth,100
Wandsworth,114
Wandsworth,114
Barnet,48
Waltham Forest,50
Islington,68
Camden,108
Camden,211
Lambeth,35
Westminster,135
Haringey,52
Islington,152
Haringey,140
Hackney,44
Westminster,550
Sutton,86
Islington,450
Lambeth,79
Wandsworth,150
Ealing,50
Camden,41
Hackney,55
Tower Hamlets,60
Wandsworth,40
Ealing,45
Newham,59
Hammersmith and Fulham,65
Hammersmith and Fulham,65
Hounslow,306
Hackney,209
Hammersmith and Fulham,50
Hammersmith and Fulham,68
Enfield,285
Wandsworth,65
Camden,300
Kensington and Chelsea,216
Wandsworth,315
Hammersmith and Fulham,218
Barnet,133
Ealing,50
Islington,53
Waltham Forest,80
Hackney,101
Westminster,225
Islington,152
Brent,95
Tower Hamlets,63
Islington,173
Greenwich,74
Hackney,102
Wandsworth,95
Camden,180
Bromley,184
Bromley,150
Hammersmith and Fulham,85
Wandsworth,39
Islington,156
Camden,152
Hackney,2850
Islington,87
Southwark,143
Greenwich,55
Greenwich,176
Camden,205
Islington,770
Kensington and Chelsea,100
Westminster,115
Tower Hamlets,46
Hammersmith and Fulham,55
Tower Hamlets,30
Richmond upon Thames,47
Camden,314
Hackney,150
Sutton,59
Richmond upon Thames,50
Camden,220
Bromley,65
Hammersmith and Fulham,76
Hackney,250
Greenwich,727
Wandsworth,120
Southwark,87
Bromley,36
Hounslow,333
Kensington and Chelsea,195
Southwark,83
Greenwich,133
Waltham Forest,124
Hammersmith and Fulham,168
Kensington and Chelsea,152
Hackney,375
Southwark,119
Camden,157
Hammersmith and Fulham,94
Hackney,198
Lambeth,85
Camden,150
Tower Hamlets,32
Greenwich,97
Westminster,132
Southwark,510
Brent,94
Kensington and Chelsea,135
Wandsworth,50
Lambeth,185
Westminster,624
Wandsworth,34
Westminster,176
Barnet,145
Brent,172
Westminster,586
Camden,149
Hammersmith and Fulham,90
Barnet,175
Richmond upon Thames,39
Richmond upon Thames,42
Tower Hamlets,100
Wandsworth,50
Hackney,53
Lambeth,42
Southwark,198
Hounslow,270
Hammersmith and Fulham,162
Lewisham,60
Kingston upon Thames,142
Tower Hamlets,102
Hackney,59
Kensington and Chelsea,147
Westminster,271
Kensington and Chelsea,671
Kensington and Chelsea,172
Lambeth,110
Lambeth,59
Lambeth,40
Lambeth,207
Ealing,54
Hammersmith and Fulham,53
Haringey,105
Hammersmith and Fulham,224
Lewisham,34
Brent,36
Tower Hamlets,111
Kensington and Chelsea,180
Southwark,216
Hackney,675
Barnet,42
Lambeth,34
Barnet,50
Richmond upon Thames,72
Kensington and Chelsea,364
Wandsworth,72
Barnet,53
Ealing,194
Islington,118
Kensington and Chelsea,227
Camden,51
Wandsworth,36
Westminster,618
Wandsworth,181
Islington,169
Islington,186
Wandsworth,50
Hackney,157
Hammersmith and Fulham,203
Haringey,130
Hackney,136
Haringey,150
Islington,186
Kensington and Chelsea,144
Hackney,68
Merton,34
Richmond upon Thames,49
Islington,235
Islington,59
Camden,117
Waltham Forest,59
Richmond upon Thames,86
Barnet,58
Haringey,171
Wandsworth,181
Barnet,180
Tower Hamlets,73
Hackney,117
Brent,525
Camden,168
Haringey,195
Merton,50
Hammersmith and Fulham,54
Merton,133
Tower Hamlets,144
Westminster,105
Hammersmith and Fulham,107
Hackney,68
Kensington and Chelsea,165
Camden,200
Southwark,375
Camden,420
Tower Hamlets,120
Hackney,66
Hackney,450
Wandsworth,268
Lambeth,99
Southwark,115
Tower Hamlets,84
Tower Hamlets,55
Tower Hamlets,216
Hammersmith and Fulham,135
Hammersmith and Fulham,75
Hackney,132
Hackney,84
Newham,56
Hackney,129
Camden,42
Islington,243
Waltham Forest,79
Islington,130
Islington,57
Brent,50
Westminster,441
Camden,277
Camden,280
Tower Hamlets,77
Camden,186
Waltham Forest,44
Lambeth,302
Wandsworth,119
Hammersmith and Fulham,150
Westminster,695
Richmond upon Thames,136
Hammersmith and Fulham,599
Greenwich,44
Greenwich,60
Camden,261
Waltham Forest,70
Camden,160
Barking and Dagenham,66
Wandsworth,201
Islington,808
Hammersmith and Fulham,106
Hackney,93
Wandsworth,452
Hackney,220
Merton,47
Westminster,120
Hackney,270
Camden,205
Islington,116
Kensington and Chelsea,121
Westminster,209
Brent,200
Hackney,37
Kensington and Chelsea,199
Richmond upon Thames,293
Tower Hamlets,77
Westminster,151
Southwark,150
Hackney,58
Westminster,248
Lewisham,38
Brent,40
Haringey,159
Hackney,65
Haringey,105
Kensington and Chelsea,348
Kensington and Chelsea,169
Hammersmith and Fulham,94
Islington,72
Kingston upon Thames,117
Hounslow,50
Hackney,80
Westminster,134
Lewisham,72
Hammersmith and Fulham,87
Kensington and Chelsea,68
Westminster,69
Islington,180
Westminster,700
Wandsworth,71
Haringey,144
Kensington and Chelsea,195
Islington,70
Southwark,130
Hackney,129
Tower Hamlets,66
Kensington and Chelsea,175
Westminster,109
Brent,299
Southwark,178
Waltham Forest,40
Bromley,27
Haringey,35
Camden,140
Lambeth,94
Wandsworth,165
Tower Hamlets,150
Tower Hamlets,235
Greenwich,100
Tower Hamlets,58
Islington,368
Lambeth,68
Hackney,54
Westminster,164
Hackney,67
Hammersmith and Fulham,125
Wandsworth,144
Islington,73
Brent,190
Croydon,32
Camden,68
Southwark,270
Ealing,131
Tower Hamlets,50
Camden,57
Islington,150
Barnet,31
Haringey,23
Westminster,186
Islington,55
Lewisham,71
Merton,150
Brent,33
Lewisham,52
Hounslow,44
Lambeth,763
Kensington and Chelsea,400
Greenwich,30
Wandsworth,46
Merton,63
Richmond upon Thames,181
Lambeth,136
Hammersmith and Fulham,400
Camden,225
Hounslow,196
Islington,142
Southwark,594
Kensington and Chelsea,108
Richmond upon Thames,559
Lambeth,102
Hammersmith and Fulham,115
Southwark,58
Islington,283
Tower Hamlets,62
Haringey,45
Kensington and Chelsea,216
Hammersmith and Fulham,53
Barking and Dagenham,32
Enfield,42
Hounslow,77
Hammersmith and Fulham,50
Camden,242
Croydon,69
Waltham Forest,221
Hounslow,70
Lewisham,135
Southwark,123
Southwark,72
Bexley,28
Kensington and Chelsea,128
Tower Hamlets,196
Hackney,58
Hammersmith and Fulham,47
Kensington and Chelsea,163
Hammersmith and Fulham,410
Hammersmith and Fulham,85
Islington,139
Richmond upon Thames,39
Hackney,155
Westminster,111
Kensington and Chelsea,114
Sutton,44
Wandsworth,146
Hackney,109
Haringey,42
Camden,51
Westminster,295
Kensington and Chelsea,253
Barnet,57
Bexley,47
Southwark,1032
Islington,68
Redbridge,27
Kensington and Chelsea,270
Westminster,108
Southwark,162
Hammersmith and Fulham,121
Barnet,46
Hackney,81
Tower Hamlets,60
Camden,433
Kensington and Chelsea,263
Islington,95
Kensington and Chelsea,249
Southwark,161
Southwark,58
Wandsworth,44
Westminster,50
Lambeth,50
Wandsworth,124
Hackney,198
Westminster,161
Hammersmith and Fulham,96
Tower Hamlets,54
Richmond upon Thames,28
Camden,182
Enfield,32
Camden,81
Hammersmith and Fulham,208
Croydon,72
Southwark,50
Westminster,468
Lewisham,61
Tower Hamlets,189
Westminster,475
Lewisham,91
Tower Hamlets,180
Islington,100
Newham,38
Newham,36
Westminster,1479
Wandsworth,450
Hackney,103
Tower Hamlets,40
Brent,404
Ealing,65
Haringey,61
Hackney,81
Southwark,77
Ealing,127
Camden,54
Camden,149
Wandsworth,90
Wandsworth,35
Westminster,200
Camden,69
City of London,164
Kensington and Chelsea,140
Hackney,86
Wandsworth,111
Tower Hamlets,150
Tower Hamlets,62
Tower Hamlets,51
Kensington and Chelsea,94
Tower Hamlets,38
Greenwich,45
Tower Hamlets,44
Wandsworth,119
Lewisham,53
Lewisham,77
Haringey,74
Westminster,112
Hounslow,225
Westminster,470
Haringey,266
Westminster,159
Kensington and Chelsea,180
Tower Hamlets,95
Lambeth,73
Tower Hamlets,35
Lewisham,60
Lewisham,104
Haringey,42
Hackney,45
Hillingdon,45
Southwark,94
Hammersmith and Fulham,139
Hackney,68
Lewisham,80
Lambeth,128
Haringey,315
Tower Hamlets,68
Harrow,36
Ealing,42
Westminster,272
Tower Hamlets,39
Islington,50
Southwark,90
Camden,279
Westminster,95
Hackney,173
Newham,150
Hackney,220
Southwark,499
Wandsworth,35
Lewisham,176
Enfield,90
Hackney,229
Camden,85
Camden,161
Tower Hamlets,164
Camden,73
Westminster,122
Haringey,33
Camden,109
Southwark,167
Islington,66
Kensington and Chelsea,325
Islington,80
Lewisham,122
Camden,135
Hammersmith and Fulham,230
Hounslow,46
Hackney,166
Wandsworth,269
Kensington and Chelsea,195
Haringey,42
Hammersmith and Fulham,163
Kensington and Chelsea,90
Camden,41
Redbridge,51
Hounslow,43
Brent,75
Westminster,112
Kensington and Chelsea,448
Croydon,117
Hammersmith and Fulham,92
Hackney,47
Newham,35
Westminster,220
Westminster,85
Westminster,800
Westminster,142
Hounslow,55
Bromley,40
Westminster,144
Westminster,67
Southwark,120
Haringey,41
Tower Hamlets,230
Haringey,180
Hammersmith and Fulham,64
Lewisham,58
Camden,146
Islington,44
Wandsworth,138
Lewisham,71
Westminster,203
Haringey,97
Camden,150
Haringey,62
Lambeth,514
Camden,43
Westminster,299
Brent,75
Richmond upon Thames,375
Wandsworth,77
Tower Hamlets,140
Kensington and Chelsea,138
Haringey,30
Islington,86
Westminster,85
Greenwich,42
Lewisham,196
Camden,200
Tower Hamlets,59
Tower Hamlets,61
Lambeth,56
Tower Hamlets,131
Kensington and Chelsea,65
Ealing,184
Kensington and Chelsea,74
Tower Hamlets,100
Tower Hamlets,73
Lambeth,71
Newham,212
Islington,50
Merton,400
Wandsworth,119
Haringey,100
Ealing,80
Newham,31
Kensington and Chelsea,481
Westminster,419
Westminster,137
Camden,119
Camden,200
Lambeth,84
Tower Hamlets,42
Hammersmith and Fulham,60
Camden,73
Brent,38
Tower Hamlets,58
Kingston upon Thames,57
Westminster,298
Camden,91
Tower Hamlets,140
Kensington and Chelsea,220
Lambeth,70
Hounslow,90
Newham,71
Westminster,450
Enfield,175
Kensington and Chelsea,236
Lambeth,329
Islington,181
Lambeth,48
Lewisham,77
Barnet,143
Wandsworth,37
Kensington and Chelsea,103
Tower Hamlets,259
Islington,96
Camden,180
Tower Hamlets,65
Wandsworth,200
Islington,89
Islington,71
Hammersmith and Fulham,173
Islington,110
Bromley,50
Brent,128
Richmond upon Thames,56
Wandsworth,49
Harrow,66
Lewisham,59
Southwark,77
Richmond upon Thames,45
Lambeth,44
Merton,63
Westminster,157
Lewisham,29
Hackney,229
Camden,225
Hammersmith and Fulham,68
Camden,82
Kensington and Chelsea,173
Hounslow,54
Hammersmith and Fulham,149
Camden,367
Islington,801
Hackney,91
Hackney,138
Lambeth,212
Haringey,47
Camden,285
Haringey,34
Newham,69
Islington,261
Waltham Forest,44
Tower Hamlets,214
Wandsworth,50
Lambeth,83
Southwark,132
Westminster,163
Wandsworth,86
Greenwich,34
