Column Name,Data Type,Total Rows,Null Count,Duplicates Exist (Cardinality),Value Range,Sample Value
bathrooms,DOUBLE,96871,34846,Yes,0 to 26,1.5
bathrooms_text,VARCHAR,96871,153,Yes,-,2.5 baths
bedrooms,BIGINT,96871,12775,Yes,0 to 50,1
beds,BIGINT,96871,34920,Yes,0 to 50,3
amenities,VARCHAR,96871,0,Yes,-,"[""First aid kit"", ""Essentials"", ""Washer"", ""Kitchen"", ""Free parking on premises"", ""Smoke alarm"", ""Heating"", ""Hangers"", ""Carbon monoxide alarm"", ""Wifi""]"
price,VARCHAR,96871,34908,Yes,-,$144.00
minimum_nights,BIGINT,96871,0,Yes,1 to 1125,4
maximum_nights,BIGINT,96871,0,Yes,1 to 524855552,1125
minimum_minimum_nights,BIGINT,96871,3,Yes,1 to 1125,4
maximum_minimum_nights,BIGINT,96871,3,Yes,1 to 1125,4
minimum_maximum_nights,BIGINT,96871,3,Yes,1 to 524855552,1125
maximum_maximum_nights,BIGINT,96871,3,Yes,1 to 2147483647,1125
minimum_nights_avg_ntm,DOUBLE,96871,0,Yes,1 to 1125,2.0
maximum_nights_avg_ntm,DOUBLE,96871,0,Yes,1 to 2135716619.5,14.0
calendar_updated,VARCHAR,96871,96871,No,-,NULL
has_availability,BOOLEAN,96871,4249,Yes,-,True
availability_30,BIGINT,96871,0,Yes,0 to 30,0
availability_60,BIGINT,96871,0,Yes,0 to 60,39
availability_90,BIGINT,96871,0,Yes,0 to 90,0
availability_365,BIGINT,96871,0,Yes,0 to 365,0
calendar_last_scraped,DATE,96871,0,Yes,-,2025-09-16
number_of_reviews,BIGINT,96871,0,Yes,0 to 1902,55
number_of_reviews_ltm,BIGINT,96871,0,Yes,0 to 390,10
number_of_reviews_l30d,BIGINT,96871,0,Yes,0 to 61,0
availability_eoy,BIGINT,96871,0,Yes,0 to 109,0
number_of_reviews_ly,BIGINT,96871,0,Yes,0 to 272,0
estimated_occupancy_l365d,BIGINT,96871,0,Yes,0 to 255,0
estimated_revenue_l365d,BIGINT,96871,34908,Yes,0 to 10150000,13640
first_review,DATE,96871,24122,Yes,-,2017-09-13
last_review,DATE,96871,24122,Yes,-,2015-07-01
review_scores_rating,DOUBLE,96871,24122,Yes,0 to 5,5.0
review_scores_accuracy,DOUBLE,96871,24137,Yes,0 to 5,5.0
review_scores_cleanliness,DOUBLE,96871,24131,Yes,0 to 5,5.0
review_scores_checkin,DOUBLE,96871,24165,Yes,0 to 5,4.98
review_scores_communication,DOUBLE,96871,24142,Yes,0 to 5,4.87
review_scores_location,DOUBLE,96871,24166,Yes,0 to 5,5.0
review_scores_value,DOUBLE,96871,24166,Yes,0 to 5,4.64
license,VARCHAR,96871,96871,No,-,NULL
instant_bookable,BOOLEAN,96871,0,Yes,-,False
calculated_host_listings_count,BIGINT,96871,0,Yes,1 to 500,1
calculated_host_listings_count_entire_homes,BIGINT,96871,0,Yes,0 to 499,1
calculated_host_listings_count_private_rooms,BIGINT,96871,0,Yes,0 to 116,1
calculated_host_listings_count_shared_rooms,BIGINT,96871,0,Yes,0 to 25,0
reviews_per_month,DOUBLE,96871,24122,Yes,0.01 to 36.96,0.01
